Name;Description;GTEX-1117F-2826-SM-5GZXL;GTEX-111YS-1926-SM-5GICC;GTEX-1122O-1226-SM-5H113;GTEX-117XS-1926-SM-5GICO;GTEX-117YX-1426-SM-5H12H;GTEX-1192X-2326-SM-5987X;GTEX-11DXW-0626-SM-5N9ER;GTEX-11DXY-2326-SM-5GICW;GTEX-11DXZ-1926-SM-5GZZL;GTEX-11DZ1-0326-SM-5N9BN;GTEX-11EI6-0626-SM-5985T;GTEX-11EM3-1326-SM-5N9C6;GTEX-11EMC-2026-SM-5A5JV;GTEX-11EQ9-1826-SM-5Q5AJ;GTEX-11GS4-2126-SM-5A5KR;GTEX-11GSO-1926-SM-5A5K3;GTEX-11GSP-0926-SM-9WYSG;GTEX-11I78-2226-SM-5PNYA;GTEX-11LCK-2426-SM-5HL5F;GTEX-11NSD-0926-SM-5N9DR;GTEX-11NV4-2026-SM-5N9DG;GTEX-11O72-2126-SM-5N9FO;GTEX-11OF3-1926-SM-59889;GTEX-11ONC-2126-SM-5HL6E;GTEX-11P7K-0726-SM-5EGKX;GTEX-11P81-1926-SM-5BC53;GTEX-11P82-1326-SM-5HL62;GTEX-11PRG-0826-SM-5EQ6A;GTEX-11TT1-2126-SM-5GU5Y;GTEX-11TUW-1826-SM-5BC5D;GTEX-11WQC-1726-SM-5GU4W;GTEX-11WQK-2426-SM-5GU5C;GTEX-11ZTS-2926-SM-GHWOW;GTEX-11ZTT-2326-SM-5EQLG;GTEX-11ZUS-0826-SM-5FQUY;GTEX-1211K-1926-SM-5EQLB;GTEX-1269C-2426-SM-5FQSN;GTEX-12BJ1-1826-SM-5HL9N;GTEX-12C56-0726-SM-HAV3J;GTEX-12KS4-0126-SM-5Q5A5;GTEX-12WSA-0926-SM-GHWO8;GTEX-12WSK-2226-SM-5GCO5;GTEX-12WSM-1726-SM-5BC6J;GTEX-12WSN-1326-SM-5GCNT;GTEX-12ZZX-1126-SM-5EGKB;GTEX-13113-5013-SM-7SB7G;GTEX-1313W-0826-SM-5EQ4T;GTEX-1314G-1226-SM-5BC6D;GTEX-131XW-0726-SM-5EGK3;GTEX-131YS-0626-SM-5EGKL;GTEX-132AR-0826-SM-5EGK6;GTEX-132NY-0826-SM-5K7Y7;GTEX-132Q8-1426-SM-5EGK7;GTEX-133LE-1726-SM-5K7VQ;GTEX-1399U-1826-SM-5PNZ1;GTEX-139T6-1626-SM-5PNYZ;GTEX-139T8-0826-SM-G8OLO;GTEX-139TU-0626-SM-5KM3X;GTEX-13CF2-2026-SM-5K7VI;GTEX-13CF3-2126-SM-5IFJP;GTEX-13D11-1026-SM-5IJFB;GTEX-13FHO-0826-SM-5L3E8;GTEX-13FLV-2526-SM-G8W75;GTEX-13FTW-1426-SM-5LZWZ;GTEX-13FTX-1126-SM-5N9EN;GTEX-13FTY-2226-SM-5J1ND;GTEX-13JVG-2326-SM-HPAGF;GTEX-13N11-1726-SM-5J1OJ
ENSG00000236601.3;ENSG00000236601;2;1;0;5;1;0;0;0;1;0;1;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;3;1;0;0;1;0;0;0;0;2;0;1;0;1;2;0;0;2;1;1;2;1;1;1;1;1;2;1;2;1;0;0;1;0;0;0;1;0;1;0;1;0
ENSG00000290385.2;ENSG00000290385;25;142;68;137;66;102;98;20;38;57;39;204;136;26;106;126;121;47;62;27;35;86;45;77;85;168;45;66;55;56;54;7;69;37;62;62;223;47;113;57;34;31;33;44;105;39;57;13;251;137;51;35;64;79;127;50;63;68;162;65;195;110;117;68;47;189;37;39
ENSG00000269732.1;WBP1LP7;1;0;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;2;2;1;0;2;2;0;0;0;2;0;0;0;0;1;0;0;0;0;3;2;0;0;0;1;0;0;0;3;0;2;2;0;0;0;2;2;3;2;1;2;3;0;0;1
ENSG00000284733.2;OR4F29;4;0;2;5;0;1;0;0;1;3;1;0;0;0;1;0;1;1;0;0;0;2;1;2;0;1;1;1;0;1;2;2;0;0;1;2;1;0;0;2;2;0;0;0;2;2;0;0;3;0;2;1;0;0;4;0;1;0;2;4;3;1;1;2;4;0;1;2
ENSG00000233653.3;CICP7;0;0;0;5;0;0;2;0;4;2;1;5;3;1;1;0;1;0;0;0;1;1;1;0;3;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;4;0;0;0;2;2;0;0;1;0;2;1;0;1;1;0;0;2;0;0
ENSG00000250575.1;ENSG00000250575;0;0;2;1;0;1;2;1;1;0;1;0;3;0;2;0;3;0;0;1;0;4;0;2;0;4;0;1;0;2;0;0;0;1;1;1;5;1;0;0;0;0;1;1;3;0;2;1;2;1;0;1;2;1;0;1;2;0;3;2;1;1;0;1;1;0;0;0
ENSG00000278757.1;U6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ENSG00000293331.2;ENSG00000293331;0;3;2;3;6;0;5;6;1;3;4;1;4;0;2;2;4;0;4;6;0;1;8;0;5;7;0;4;3;1;0;4;0;0;4;0;1;0;5;6;0;2;0;1;2;6;0;2;4;4;0;0;3;2;10;0;0;0;3;6;6;2;4;3;0;2;0;10
ENSG00000225880.7;LINC00115;483;822;685;1572;378;426;625;455;757;317;409;836;954;505;818;734;608;439;527;509;365;552;342;576;700;680;366;758;281;577;486;282;376;305;456;463;715;603;886;379;388;392;343;339;463;294;401;305;1549;767;393;594;982;543;693;859;1114;559;1360;490;490;373;659;323;515;1236;536;579
ENSG00000235146.3;ENSG00000235146;0;0;0;2;0;0;4;1;1;0;0;1;0;0;1;1;0;0;0;0;3;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;2;1;0;1;1;0;1;1;0;0;0;2;1;0;0;1;0;0;3;1;0;0
ENSG00000225972.1;MTND1P23;143;157;124;332;105;115;191;196;97570;48;87;45;104;105;85;136;124;140;97;97;99;231;84;78;23469;127;136;15018;52;182;81;84;119;103;128;65;118;173;70;123;65;128;133;254;79;52626;90;100;209;92;81;68;86;138;101;122;31;48;173;137;92;35;57;175;321;66;23;18293
ENSG00000225630.1;MTND2P28;22165;28513;24622;95890;29911;21656;34009;50148;52616;545;12802;12749;17068;23161;17526;37730;23789;36944;16864;29068;28741;145315;29120;17220;14255;19583;28834;12273;6192;22758;6069;12815;44019;24938;28524;14625;17563;25614;24746;35626;31838;35274;133509;20393;5571;23000;71305;22701;25029;9500;19047;15098;16504;16974;28447;450;9550;2431;33816;42456;15888;15173;10575;30387;57757;10845;9028;36953
ENSG00000237973.1;MTCO1P12;1087;1879;2444;3159;1923;1959;1701;2050;75282;579;926;1240;1569;1791;981;1413;1986;2734;1063;1914;1152;1398;1028;1191;3845;1613;2000;3754;1186;1441;3154;1142;1711;2208;651;1227;1965;2215;1286;924;1096;1363;1244;1666;1291;83908;996;1373;2746;656;2218;621;1027;1737;2178;1902;1068;2309;1722;2221;1849;1275;880;2525;6983;869;666;43095
ENSG00000229344.1;MTCO2P12;132;174;173;647;188;198;285;313;334;152;176;69;193;256;117;234;105;179;160;128;190;288;235;122;168;240;228;126;129;261;2666;178;81;178;232;150;215;287;54;185;85;132;203;337;120;225;189;293;378;127;199;119;158;138;182;167;105;58;210;229;135;95;59;334;483;89;21;80
ENSG00000240409.1;MTATP8P1;70;162;108;349;115;132;98;209;300;56;142;26;70;87;54;141;35;62;99;35;45;116;183;70;80;131;138;98;60;169;37;70;17;120;123;82;111;141;21;104;29;72;177;96;45;286;135;139;148;68;81;67;70;57;45;53;15;6;93;79;81;41;11;66;152;34;20;122
ENSG00000248527.1;MTATP6P1;57888;62288;66855;101718;68022;47583;89526;89146;195513;62571;35474;39476;50319;65299;37139;78258;52684;95876;48810;66377;59824;93120;59060;35669;33938;47746;98490;27495;19972;48608;17859;25890;68263;75591;66587;48848;48756;77260;46280;66535;58698;30103;68429;60191;27554;152253;57876;41723;70442;36429;57221;43741;47052;52134;62456;586;60571;10899;63599;84301;45762;32428;22207;116354;152231;33035;12208;64295
ENSG00000198744.5;MTCO3P12;452;252;316;1008;289;2054;2038;707;370;226;257;134;420;249;249;2324;236;254;236;1414;350;459;692;230;232;398;2728;263;175;385;143;264;126;215;315;164;267;360;98;266;100;256;516;326;178;323;307;338;721;321;182;200;290;320;738;190;457;128;443;252;252;1469;97;323;4564;139;95;202
ENSG00000268663.1;WBP1LP6;1;0;1;6;0;1;1;3;3;0;0;0;2;0;0;1;0;0;1;0;1;2;3;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2;2;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;3;0;1;0
ENSG00000284662.2;OR4F16;1;1;0;5;1;4;2;2;1;1;1;0;1;3;2;2;0;0;2;0;2;2;1;2;1;3;0;1;0;1;0;0;0;0;5;0;0;1;0;1;0;2;2;1;1;3;0;0;3;0;0;2;2;1;0;1;0;1;2;2;1;1;0;1;3;0;0;4
ENSG00000230021.11;ENSG00000230021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229376.3;CICP3;5;5;3;22;6;18;12;10;16;12;15;2;20;12;8;8;6;7;10;13;18;2;9;9;5;22;4;8;5;13;8;10;3;5;5;2;14;19;3;7;6;3;8;12;22;13;6;14;10;6;20;8;8;5;2;7;2;2;7;4;5;6;6;8;14;22;8;14
ENSG00000223181.1;RNU6-1199P;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229905.1;ENSG00000229905;2;2;2;4;0;3;1;2;1;0;2;0;0;2;1;0;1;0;2;0;0;3;5;1;0;1;0;0;1;1;0;0;1;0;0;0;4;2;0;0;0;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1
ENSG00000237491.11;LINC01409;63;174;86;163;48;63;82;91;69;40;68;149;111;101;97;49;133;118;125;138;71;93;49;82;90;112;66;80;45;150;52;38;91;55;93;125;99;47;90;21;127;46;39;59;132;60;47;54;139;119;178;58;79;117;116;77;78;111;115;34;96;78;97;93;98;82;54;116
ENSG00000177757.3;FAM87B;14;27;9;94;27;33;22;46;50;13;25;18;17;98;20;37;38;18;21;142;48;28;65;48;21;37;14;22;15;107;15;9;52;37;57;24;25;26;82;38;36;56;11;20;10;28;84;37;22;19;54;42;15;7;25;53;28;57;31;36;24;18;15;54;20;5;10;18
